cafe_name	name	dessert_tag	price	image_url
까치화방 강남점	카페 라떼	NULL	5,000원	NULL
까치화방 강남점	수플레 카푸치노	NULL	5,200원	NULL
까치화방 강남점	허브&과일수제청 티	NULL	6,000원	NULL
까치화방 강남점	까치설화(아인슈페너)	NULL	6,200원	NULL
까치화방 강남점	허브&과일수제청 에이드	NULL	6,500원	NULL
까치화방 강남점	밀크청(로얄 머스캣 밀크티)	NULL	6,500원	NULL
까치화방 강남점	밀크홍(레드 후르츠 블렌딩 밀크티)	NULL	6,500원	NULL
까치화방 강남점	허니크로플	NULL	9,800원	NULL
겟썸커피 다운스테어즈	에스프레소	NULL	3,500원	NULL
겟썸커피 다운스테어즈	아메리카노	NULL	3,000원	NULL
겟썸커피 다운스테어즈	라떼	NULL	3,500원	NULL
겟썸커피 다운스테어즈	코코넛 라떼	NULL	4,000원	NULL
겟썸커피 다운스테어즈	초콜릿	NULL	4,500원	NULL
스타벅스 강남R점	아이스 슈크림 라떼	NULL	6,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF8C0F9822E044175AC7AD8818463D25B
스타벅스 강남R점	슈크림 라떼	NULL	6,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F349D2FC6BD82443A95C2C0BA46DF33B1
스타벅스 강남R점	라이트 핑크 자몽 피지오	NULL	6,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F18E709F3AFCF4800B44FAA3171F13B0D
스타벅스 강남R점	피스타치오 크림 콜드 브루	NULL	6,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2076544EA11C49849C2401ABFD7FC9A2
스타벅스 강남R점	오늘의 커피	NULL	4,200원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F99A2C5B8CADE44B4BBC284B4D75C1C67
스타벅스 강남R점	카푸치노	NULL	5,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8116A7C2C8A74EB0BFC673D69CD18DFC
스타벅스 강남R점	카페 라떼	NULL	5,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8E8B8E28C37A4708854528B1FD4A0952
스타벅스 강남R점	카페 모카	NULL	5,500원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE5BA0B0FE13541A1BFA131EAE90A580B
스타벅스 강남R점	카페 아메리카노	NULL	4,500원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F33C10F99AABA4C458BA462C518B8F471
스타벅스 강남R점	카라멜 마키아또	NULL	5,900원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCF3D9832185E433CBF34AE9FC042FF1E
스타벅스 강남R점	화이트 초콜릿 모카	NULL	5,900원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F58E2AFC4A5E74FF39C9222FD00CF9AD5
스타벅스 강남R점	스타벅스 돌체 라떼	NULL	5,900원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC9C9A4FCD5B4457BB1FE73FD63D53E67
스타벅스 강남R점	자바 칩 프라푸치노	NULL	6,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F29A4626447C94057814F98A097F54770
스타벅스 강남R점	망고 바나나 블렌디드	NULL	6,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1B5BAD46B0164E3D8EBD7516F7960013
스타벅스 강남R점	아이스 자몽 허니 블랙 티	NULL	5,700원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4E01854D95744F6E81BD1A6BEE43F08C
스타벅스 강남R점	자몽 허니 블랙 티	NULL	5,700원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCBFA40B5DEC246478F34C0D40D183067
스타벅스 강남R점	콜드 브루	NULL	4,900원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F855A36C2EF76467DA1B3EA92E1A74FC7
